Modelo,Variable,MAE,RMSE,MAPE (%),R2
Random Forest,Tiempo de Ciclo,0.04746250000001062,0.061330533790252814,0.11440938000756445,0.9819587662002546
Random Forest,Tiempo Plastificación,0.056487499999998615,0.07251858238869846,0.42926560646630324,0.9803033726422463
Random Forest,Presión Conmutación,9.728333333333325,13.050970908965597,1.1629648184309676,0.9882867539776081
Random Forest,Presión Máx Masa,6.965000000000003,8.062890300630416,0.7161573406084789,0.9966546158343351
Random Forest,Integral de Presión,33.616250000000036,46.35411324341496,0.2941462024136372,0.9789617772723563
Random Forest,Potencia Máxima,0.25221666666666875,0.299294173807312,4.095415246461384,0.9851009223142771
Random Forest,Contrapresión Máxima,1.372083333333336,1.8281439813829379,0.2395034749291447,0.3202487288135608
Random Forest,Energía Consumida,0.12837499999999458,0.23162752966778347,2.0438208282747716,0.5676670956911033
XGBoost,Tiempo de Ciclo,0.008616994222005422,0.011611720434239402,0.020796001513620644,0.9993532954928177
XGBoost,Tiempo Plastificación,0.04242001215616842,0.04939012244187483,0.3199829626605361,0.9908636345557442
XGBoost,Presión Conmutación,12.370285034179688,19.921984191101316,1.3993937880109488,0.9727066525283478
XGBoost,Presión Máx Masa,11.306009928385416,28.37215645802768,0.952348527721483,0.9585762714612934
XGBoost,Integral de Presión,27.923746744791668,51.971208955018064,0.24096050003201563,0.9735541133135168
XGBoost,Potencia Máxima,0.05453099568684886,0.13702186699672853,0.8260418796695426,0.9968772111462385
XGBoost,Contrapresión Máxima,1.2970530192057292,1.7764378120842026,0.22631212309176327,0.35815634572152366
XGBoost,Energía Consumida,0.19965185324350987,0.3367679920692517,3.1714757608017208,0.0860981539194633
CNN-LSTM,Tiempo de Ciclo,0.11625339508056658,0.13988899976062674,0.28059961949497975,0.9061401458036713
CNN-LSTM,Tiempo Plastificación,0.1303004709879557,0.1710719218997705,0.980270672294735,0.8903898616663383
CNN-LSTM,Presión Conmutación,10.914113362630209,15.254241191314366,1.4239526875293036,0.9839980525515709
CNN-LSTM,Presión Máx Masa,48.8003896077474,60.696093989582984,4.60979153517431,0.810422853506138
CNN-LSTM,Integral de Presión,71.90340169270833,85.75388996552331,0.6281537045635545,0.9279987306375417
CNN-LSTM,Potencia Máxima,0.836753980000814,1.192656587597683,13.900670440585566,0.7634114722228068
CNN-LSTM,Contrapresión Máxima,1.1523030598958333,1.4479578015061139,0.20090702637474261,0.5735765840795081
CNN-LSTM,Energía Consumida,0.16350820859273263,0.24376384781950783,2.555180133038979,0.5211753136797321
FCN,Tiempo de Ciclo,0.16201981862386164,0.18414881292264274,0.39122317687801433,0.8373513014046754
FCN,Tiempo Plastificación,0.11582741737365716,0.13412136226524768,0.8765613830669504,0.9326264907695785
FCN,Presión Conmutación,29.75739034016927,36.74128259485237,3.6254588179166816,0.9071674569063333
FCN,Presión Máx Masa,14.003763834635416,16.452616582638246,1.405255902817986,0.9860705346100724
FCN,Integral de Presión,113.74235026041667,145.43046521390355,0.9954410918973944,0.7929175566677636
FCN,Potencia Máxima,0.9447694009145101,1.101986963611654,14.311011316323489,0.7980165560668837
FCN,Contrapresión Máxima,1.2598063151041667,1.633568220571504,0.21977509925724345,0.4572450580485796
FCN,Energía Consumida,0.22811241944630942,0.3092830194660456,3.603496606626624,0.22918511456491686
